index,corr. coef
3835-26509,0.526_0.76
3835-10497,0.254_0.763
3835-24113,0.49_0.655
3809-24880,0.041_0.837
3835-1689,1.194_0.627
3835-10723,0.708_0.782
3835-7033,0.755_0.664
3835-22357,0.151_0.541
3835-26751,0.625_0.782
3835-4296,1.034_0.709
3809-24276,0.241_0.82
3835-24532,1.2_0.671
3809-25005,0.408_0.729
3841-15847,0.374_0.817
3841-25005,0.203_0.818
3809-7203,0.203_0.837
3835-25006,0.688_0.547
3833-23105,0.715_0.848
3835-1688,1.068_0.728
3835-18548,0.746_0.814
3811-26751,0.082_0.798
3809-20370,0.277_0.783
3809-9706,0.325_0.92
3811-24276,0.933_0.677
3835-2618,0.426_0.571
3835-18009,1.684_0.733
3841-7053,0.031_0.625
3809-23232,0.66_0.868
3835-18550,0.214_0.749
3803-24880,0.353_0.53
3833-24276,0.419_0.587
3811-18271,0.696_0.649
3833-22415,1.262_0.727
3809-15,0.134_0.674
3811-26637,0.297_0.659
3811-26291,1.097_0.746
3809-2238,0.372_0.706
3809-11089,0.532_0.718
3811-16122,0.351_0.712
3841-24880,0.474_0.702
3809-22249,0.249_0.936
3809-7053,1.345_0.805
3835-2679,1.947_0.501
3841-15,0.159_0.682
3809-18650,0.484_0.629
3833-26169,0.369_0.623
3841-24660,0.103_0.777
3803-26637,0.165_0.577
3811-2397,1.426_0.625
3803-2238,0.225_0.67
3809-20169,0.354_0.729
3811-2238,0.584_0.764
3803-27192,0.448_0.595
3803-26001,0.074_0.771
3811-9506,0.742_0.69
3809-26001,0.913_0.637
3809-19696,0.268_0.714
3809-26638,0.385_0.669
3811-25005,0.161_0.592
3811-22548,0.337_0.792
3811-25106,0.299_0.642
3803-1271,0.18_0.773
3811-10283,0.439_0.638
3803-21778,0.298_0.746
3811-2294,0.03_0.738
3811-24880,0.391_0.672
3811-25876,0.146_0.687
3809-24788,0.948_0.666
3809-26637,0.484_0.806
3803-15,0.168_0.77
3811-15,0.322_0.593
3811-2394,0.092_0.766
3811-25881,0.772_0.748
3811-24788,0.449_0.573
3811-26398,0.455_0.745
3811-1258,0.593_0.685
3841-5598,0.275_0.83
3835-9723,0.881_0.601
3809-2554,1.065_0.631
3809-4626,0.872_0.77
3809-26291,0.7_0.636
3841-7203,0.444_0.625
3809-13410,0.408_0.766
3803-25144,0.289_0.686
3809-31719,0.405_0.89
3835-7704,1.225_0.656
3809-14946,0.278_0.845
3811-18273,0.292_0.586
3835-25004,2.0_0.49
3809-4570,0.868_0.791
3809-2384,2.0_0.752
3811-25912,1.109_0.816
3811-25880,1.378_0.636
3803-24276,1.479_0.639
3809-18907,0.257_0.738
3809-8812,0.376_0.692
3811-2386,1.279_0.807
3809-2295,0.828_0.718
3803-3601,0.671_0.744
3835-2617,2.0_0.798
3809-4645,0.629_0.664
3809-2386,0.292_0.83
3811-24431,0.95_0.776
3809-25144,0.091_0.767
3803-26502,0.759_0.737
3809-8939,0.419_0.844
3809-9736,1.017_0.517
3841-24276,0.665_0.782
3803-16122,0.548_0.764
3809-2294,0.364_0.824
3809-11088,0.906_0.68
3811-13752,0.317_0.636
3809-4033,0.83_0.598
3811-20769,0.995_0.724
3809-9763,0.362_0.661
3809-9949,2.0_0.818
3809-25141,0.494_0.65
3809-25130,0.352_0.758
3811-9949,0.957_0.797
3811-30573,0.511_0.766
3803-2958,0.343_0.855
3809-21047,0.949_0.752
3809-2012,2.0_0.791
3809-25001,0.307_0.719
3809-22690,0.207_0.677
3841-26001,0.405_0.793
3809-3787,0.504_0.798
3803-15895,1.183_0.657
3809-23128,0.546_0.815
3833-31066,0.44_0.735
3841-9949,0.514_0.824
3809-23111,0.255_0.684
3841-5675,0.844_0.653
3809-2397,1.091_0.668
3809-10358,0.543_0.634
3803-22249,0.343_0.789
3841-24788,0.226_0.949
3811-25894,0.184_0.782
3803-30889,0.583_0.868
3809-9758,0.623_0.581
3841-19614,0.64_0.826
3841-26637,0.413_0.678
3811-20169,0.403_0.633
3809-26954,0.171_0.857
3811-22249,0.371_0.725
3811-24755,0.115_0.694
3811-26838,0.772_0.691
3809-5556,0.14_0.721
3803-7285,0.547_0.64
3809-2678,0.665_0.791
3803-2877,0.245_0.61
3809-26631,1.695_0.612
3803-8568,0.489_0.575
3809-25955,0.339_0.538
3833-25001,1.067_0.647
3841-24787,0.37_0.537
3811-26409,1.136_0.749
3803-9973,0.525_0.664
3803-5283,0.736_0.747
3803-2284,0.275_0.676
3809-9825,0.588_0.869
3803-25876,0.189_0.858
3833-26637,0.614_0.629
3811-26650,0.356_0.657
3803-25881,0.164_0.714
3809-23217,2.0_0.77
3811-10824,0.774_0.677
3811-24787,0.515_0.652
3841-5673,0.882_0.803
3809-25140,0.864_0.793
3811-20503,0.472_0.579
3809-24755,0.662_0.54
3811-4969,0.162_0.803
3809-4719,0.267_0.777
3811-25137,0.367_0.752
3809-19126,0.639_0.594
3811-2276,1.145_0.721
3809-18125,0.476_0.792
3803-19126,0.827_0.559
3809-16122,0.206_0.747
3803-24787,0.503_0.741
3803-24788,0.748_0.654
3809-4662,0.294_0.765
3811-13754,0.981_0.597
3809-24048,1.359_0.856
3841-30060,0.433_0.746
3809-25137,1.075_0.591
3809-2308,0.985_0.78
3841-24743,1.178_0.555
3811-26001,0.311_0.769
3803-26291,0.218_0.823
3809-10930,1.085_0.692
3809-23127,0.3_0.738
3811-30807,0.941_0.676
3809-19420,1.135_0.706
3809-5675,0.385_0.691
3809-23097,0.632_0.57
3803-25005,0.492_0.778
3811-10751,0.282_0.733
3803-21116,0.445_0.657
3809-4625,0.243_0.761
3809-25876,0.45_0.716
3841-16122,0.367_0.576
3833-2238,0.737_0.744
3811-7280,1.201_0.642
3841-19615,0.173_0.616
3811-15808,0.717_0.575
3833-19146,1.289_0.662
3809-4969,0.264_0.675
3803-2294,0.969_0.606
3841-16896,0.322_0.763
3841-25876,0.403_0.813
3811-26872,0.334_0.782
3803-26639,0.692_0.696
3811-26292,0.957_0.601
3809-18223,0.935_0.565
3833-26348,0.343_0.791
3811-2969,0.661_0.562
3811-30619,0.852_0.708
3811-7203,0.489_0.713
3803-7267,0.837_0.767
3833-2386,1.603_0.68
3809-25149,0.525_0.725
3811-2407,1.541_0.596
3811-26348,0.523_0.646
3841-24816,0.382_0.69
3803-13754,0.593_0.787
3803-26650,1.229_0.654
3811-2508,1.073_0.6
3803-2609,0.116_0.782
3833-15,0.526_0.659
3809-10961,0.963_0.839
3841-10401,0.286_0.663
3809-2394,0.475_0.853
3809-922,0.746_0.522
3809-1360,0.496_0.634
3803-19070,0.635_0.581
3811-21116,0.854_0.703
3841-22249,0.671_0.729
3809-20781,0.136_0.791
3811-18223,0.931_0.622
3809-19688,1.008_0.776
3811-24403,0.5_0.579
3811-26639,0.201_0.673
3841-9758,0.315_0.83
3809-18749,1.23_0.729
3833-30889,0.473_0.834
3809-4500,0.614_0.596
3811-2609,0.3_0.752
3833-26291,0.616_0.827
3809-2321,0.266_0.547
3811-2677,1.268_0.661
3809-4560,0.152_0.75
3803-26292,0.312_0.773
3833-24743,0.589_0.777
3833-25876,0.406_0.736
3803-25141,0.633_0.824
3803-5495,0.752_0.612
3809-5763,0.816_0.714
3811-31110,1.026_0.827
3841-8827,1.036_0.792
3809-2720,1.56_0.546
3811-7931,0.445_0.556
3833-31719,0.5_0.835
3809-2969,0.512_0.662
3841-24048,0.139_0.7
3841-2386,0.494_0.781
3841-26676,0.852_0.614
3809-10316,0.333_0.816
3809-20366,0.304_0.616
3811-23845,1.37_0.666
3803-2789,1.172_0.71
3809-26182,1.161_0.642
3841-19537,0.865_0.591
3809-9745,0.753_0.602
3803-25126,0.244_0.797
3803-1135,1.437_0.559
3811-21117,0.601_0.635
3809-21117,0.118_0.739
3803-2012,0.446_0.809
3841-11091,0.664_0.501
3841-18223,1.61_0.622
3809-4959,1.08_0.699
3833-23111,0.804_0.603
3811-19070,1.004_0.629
3811-4635,0.519_0.681
3841-20938,1.299_0.618
3809-8624,1.576_0.862
3841-26650,1.226_0.582
3833-2471,1.217_0.797
3811-10023,0.383_0.547
3811-16896,0.807_0.801
3809-11308,0.254_0.742
3841-5495,1.209_0.627
3803-2386,0.708_0.704
3811-15829,0.207_0.721
3833-13754,0.513_0.811
3811-23913,0.615_0.716
3841-23845,0.71_0.829
3841-19545,0.569_0.869
3811-13515,1.347_0.593
3803-2285,1.283_0.699
3811-8567,0.714_0.628
3803-1445,0.714_0.649
3841-16109,1.325_0.613
3803-23115,0.121_0.632
3803-26676,0.194_0.664
3841-19539,0.229_0.499
3811-26735,1.708_0.425
3803-24755,0.211_0.625
3811-24394,0.485_0.743
3841-15467,0.495_0.712
3841-2789,0.156_0.569
3811-25878,0.461_0.659
3803-26348,1.468_0.571
3809-24743,0.386_0.657
