index,corr. coef
3809-2384,0.279_0.735
3809-24880,0.146_0.826
3835-26751,0.137_0.818
3809-24276,0.265_0.777
3809-25005,0.183_0.841
3841-25005,0.207_0.84
3809-7203,0.471_0.79
3841-15847,0.213_0.799
3835-24798,0.859_0.662
3811-9037,0.242_0.749
3833-23105,0.271_0.839
3835-9037,0.135_0.901
3811-26751,0.032_0.82
3809-9706,0.166_0.922
3809-20370,0.272_0.829
3835-18273,1.506_0.687
3835-10723,0.659_0.759
3809-23232,0.245_0.939
3841-7053,0.121_0.73
3811-24276,0.083_0.861
3833-24276,0.37_0.787
3809-2238,0.647_0.464
3809-15,0.436_0.647
3835-18009,0.798_0.785
3803-2384,0.632_0.674
3809-22249,0.18_0.94
3809-1438,0.206_0.756
3835-18272,0.38_0.593
3809-25069,0.228_0.62
3809-11089,0.247_0.712
3809-25006,1.106_0.709
3833-26169,0.378_0.613
3841-24660,0.017_0.865
3803-24880,0.288_0.847
3841-24880,0.253_0.827
3835-25006,0.489_0.705
3803-2238,0.275_0.768
3803-27192,0.424_0.673
3809-20169,0.246_0.642
3809-18650,0.207_0.793
3803-26637,0.246_0.528
3809-26001,0.924_0.517
3809-26638,0.381_0.597
3811-26637,0.168_0.748
3809-19696,0.431_0.728
3803-21778,0.285_0.731
3811-18271,0.199_0.789
3803-1271,0.982_0.684
3811-25106,0.216_0.652
3811-26291,0.83_0.572
3811-25005,0.16_0.742
3811-10283,0.344_0.613
3811-2294,0.153_0.755
3811-2238,0.423_0.56
3803-26001,0.134_0.73
3809-24788,1.145_0.637
3833-22415,0.334_0.748
3809-26637,0.106_0.886
3811-2397,0.748_0.716
3803-6661,0.331_0.627
3811-22548,0.24_0.783
3811-1258,0.353_0.689
3811-10227,0.21_0.669
3841-7203,0.524_0.653
3803-15,0.261_0.809
3809-2554,0.448_0.761
3809-8803,0.169_0.799
3809-4626,0.653_0.756
3809-13410,0.414_0.744
3809-4570,0.73_0.843
3811-24788,0.248_0.738
3841-5598,0.183_0.908
3841-15,0.166_0.777
3811-18273,0.091_0.674
3809-2012,1.497_0.631
3803-24276,0.116_0.673
3809-31719,0.423_0.89
3809-14946,0.226_0.865
3809-18907,0.356_0.742
3809-8812,0.549_0.674
3809-6697,0.828_0.847
3809-4645,0.224_0.696
3809-2386,0.439_0.825
3835-25004,1.21_0.625
3811-24391,0.268_0.802
3811-25912,1.447_0.838
3835-10497,2.0_0.927
3841-6661,0.481_0.825
3809-2295,0.597_0.666
3841-24276,0.644_0.813
3809-25144,0.437_0.763
3809-2294,0.125_0.708
3811-2386,1.245_0.876
3811-25881,0.352_0.77
3809-8939,0.552_0.764
3809-26291,0.671_0.68
3835-24532,2.0_0.741
3809-9949,2.0_0.755
3809-9736,1.1_0.628
3811-16122,0.697_0.811
3809-2134,0.282_0.822
3809-11088,0.985_0.643
3809-4033,0.845_0.648
3809-9763,0.037_0.652
3811-13752,0.367_0.677
3811-24880,0.289_0.687
3809-25141,0.381_0.72
3809-21047,0.195_0.812
3809-25130,0.242_0.734
3811-20769,0.734_0.682
3811-2394,0.286_0.672
3809-22690,0.396_0.566
3841-26001,0.524_0.658
3809-25001,0.444_0.754
3809-1668,0.044_0.651
3811-25880,1.064_0.717
3809-3787,0.678_0.815
3809-22415,1.224_0.794
3809-23128,0.372_0.804
3811-15,0.488_0.755
3809-4102,0.616_0.578
3809-1506,0.692_0.651
3809-10358,0.777_0.632
3833-31066,0.241_0.765
3841-5675,0.44_0.709
3809-23111,0.39_0.68
3811-25894,0.157_0.832
3809-9758,0.512_0.582
3841-24788,0.157_0.953
3803-1506,0.554_0.792
3809-2397,0.408_0.729
3809-26954,0.476_0.887
3803-30889,0.257_0.839
3803-7285,0.446_0.718
3809-1661,0.047_0.68
3803-3601,0.992_0.711
3811-24431,0.692_0.764
3841-19614,0.673_0.787
3809-26631,2.0_0.616
3809-5556,0.211_0.736
3803-2877,0.33_0.749
3833-25001,0.271_0.651
3841-24787,0.086_0.593
3803-8568,0.485_0.711
3811-26409,0.489_0.816
3809-2678,0.669_0.676
3803-6697,0.232_0.577
3809-23217,2.0_0.765
3833-26637,0.339_0.669
3811-9949,0.677_0.843
3811-22249,0.621_0.571
3811-30422,0.296_0.858
3803-25876,0.675_0.756
3803-5283,0.573_0.677
3809-24048,1.36_0.864
3809-9825,0.836_0.751
3809-25140,1.107_0.804
3803-25881,0.391_0.78
3809-18125,0.302_0.855
3809-2296,0.25_0.685
3841-5673,1.307_0.769
3809-25137,0.95_0.64
3803-24788,0.781_0.616
3809-4719,0.126_0.773
3841-30060,0.403_0.761
